Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID
Unknown Name,Rivers,Keyboard,48,158687.85,7617016.8,27-04-2025,Online,Missing_Order_ID
allison hill,Lagos,Headphones,48,267992.94,12863661.12,15-03-2024,Wholesale,4c636e95-025f-4543-8997-623ae0723d96
noah rhodes,Anambra,Keyboard,48,42364.41,2033491.68,22-07-2024,Direct,edaf3766-1b78-4ede-9a4f-fc0c9165f2ed
angie henderson,Delta,Keyboard,48,279444.94,13413357.12,22-07-2024,Direct,74503887-48d9-4846-95c5-51fcfba57cc8
daniel wagner,Delta,Tablet,48,95899.74,4603187.52,22-07-2024,Direct,8639bd41-8b15-4d94-a42d-0cd7fd359f6a
cristian santos,Oyo,Camera,48,118189.9,5673115.2,30-08-2023,Direct,225aed6c-f045-4043-a3a6-8a707e710b55
connie lawrence,Rivers,Tablet,36,185141.9,6665108.4,22-07-2024,Wholesale,45d8a6ad-77d0-459e-8114-14f8d9df0d0e
gina moore,Imo,Keyboard,48,252859.28,12137245.44,22-07-2024,Online,54a7b69b-1cd6-4b09-8f0e-6d2b315c167a
gabrielle davis,Kano,Camera,48,178320.53,8559385.44,21-02-2024,Wholesale,a5f60735-757b-4b29-bb2a-a1462999394c
ryan munoz,Plateau,Tablet,48,152440.84,7317160.32,22-07-2024,Direct,039b058c-2faa-4e0b-b7f6-0cdf41dc1c60
monica herrera,Niger,Keyboard,48,158687.85,7617016.8,28-02-2024,Direct,4b86b5a1-ca6f-4ff8-964c-fbd2bc92fd81
jamie arnold,Abuja,Laptop,3,153159.37,459478.11,22-07-2024,Retail,317304b5-c1dd-484a-aca5-8d95915a1c30
Unknown Name,Lagos,Tablet,43,147209.07,6329990.01,22-07-2024,Wholesale,a383889a-db2c-4ac8-9c67-83932ced3c0d
lisa hensley,Kano,Camera,48,169095.82,8116599.36,13-01-2025,Direct,6d7df5d0-d3b5-4af7-a7ce-378fe5a4983b
dylan miller,Delta,Charger,48,5482.77,263172.96,30-06-2025,Direct,669d01ff-1634-425b-93f3-007383e96ef4
brian ramirez,Bauchi,Charger,48,99706.26,4785900.48,22-07-2024,Retail,fb4fb88a-2f4d-4219-986b-2880ab545a15
holly wood,Katsina,Laptop,28,33326.57,933143.96,17-11-2024,Direct,ef9240b6-52d7-4f10-ba3a-6e9623ff23d3
derek zuniga,Lagos,Headphones,43,125253.81,5385913.83,23-11-2023,Direct,6231ee73-42c2-42eb-81bf-9e733f800385
lisa jackson,Imo,Headphones,77,92649.51,7134012.27,18-03-2025,Online,4459bd6e-c0f6-4229-b25d-42593c4b1eec
carla gray,Enugu,Camera,36,158687.85,5712762.6,16-04-2024,Direct,951c25d5-4d4c-4280-9462-52e7f43ba052
margaret hawkins,Imo,Monitor,48,269680.75,12944676.0,22-07-2024,Wholesale,42f525b9-02ed-43ce-92a8-1713b90ed44b
patty perez,Niger,Headphones,33,261693.68,8635891.44,22-07-2024,Retail,3c7e5368-b159-4847-9c0b-9b10a757cb10
ethan adams,Delta,Camera,48,188963.51,9070248.48,13-10-2023,Online,77242041-1e43-4bd2-aaf4-07f70fe76149
tommy walter,Ekiti,Laptop,4,179274.43,717097.72,14-12-2023,Online,afa28559-67c9-4204-a8e3-33b64e8adc4b
Unknown Name,Plateau,Monitor,48,80026.37,3841265.76,17-03-2025,Wholesale,e346f415-e526-4a2b-ac50-ace480a52e65
matthew foster,Anambra,Monitor,48,196849.5,9448776.0,26-10-2023,Retail,b0b6dedf-4f9c-4027-8514-4d98b41c504f
judy baker,Lagos,Charger,42,291631.03,12248503.26,22-07-2024,Direct,f0cd7f05-ea87-455e-a382-95d31e0ef546
stephanie ross,Niger,Monitor,7,68649.2,480544.4,28-07-2024,Direct,3889936a-9d58-47e8-9e17-5b664b87959f
zachary hicks,Sokoto,Phone,48,158687.85,7617016.8,31-07-2023,Wholesale,7a6a2107-2231-4050-b515-94943818cfd3
anthony rodriguez,Anambra,Camera,68,15880.87,1079899.16,16-04-2024,Wholesale,fd247c11-bf6b-4cdf-b479-7b6127372b52
rebecca henderson,Oyo,Monitor,96,144394.41,13861863.36,13-09-2024,Online,b3b26337-6a74-4bb7-9fa5-e0aa9b11b530
james ferrell,Enugu,Monitor,48,157507.58,7560363.84,27-09-2024,Online,c1e1b94a-7888-4058-a9ad-0e9b8c9aa1e9
