,Unnamed: 0,Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID
0,0,Unknown Name,Rivers,Keyboard,48,158687.85,7617016.8,2025-04-27,Online,
1,1,allison hill,Lagos,Headphones,48,267992.94,12863661.12,2024-03-15,Wholesale,4c636e95-025f-4543-8997-623ae0723d96
2,2,noah rhodes,Anambra,Keyboard,48,42364.41,2033491.68,2024-07-22,,edaf3766-1b78-4ede-9a4f-fc0c9165f2ed
3,3,angie henderson,Delta,Keyboard,48,279444.94,13413357.12,2024-07-22,,74503887-48d9-4846-95c5-51fcfba57cc8
4,4,daniel wagner,Delta,Tablet,48,95899.74,4603187.52,2024-07-22,,8639bd41-8b15-4d94-a42d-0cd7fd359f6a
5,5,cristian santos,Oyo,Camera,48,118189.9,5673115.2,2023-08-30,Direct,225aed6c-f045-4043-a3a6-8a707e710b55
6,6,connie lawrence,Rivers,Tablet,36,185141.9,6665108.4,2024-07-22,Wholesale,45d8a6ad-77d0-459e-8114-14f8d9df0d0e
7,7,abigail shaffer,Oyo,Camera,48,118189.9,5673115.2,2023-08-30,Direct,225aed6c-f045-4043-a3a6-8a707e710b55
8,8,gina moore,Imo,Keyboard,48,252859.28,12137245.44,2024-07-22,Online,54a7b69b-1cd6-4b09-8f0e-6d2b315c167a
9,9,gabrielle davis,Kano,Camera,48,178320.53,8559385.44,2024-02-21,Wholesale,a5f60735-757b-4b29-bb2a-a1462999394c
10,10,ryan munoz,Plateau,Tablet,48,152440.84,7317160.32,2024-07-22,Direct,039b058c-2faa-4e0b-b7f6-0cdf41dc1c60
11,11,monica herrera,Niger,Keyboard,48,158687.85,7617016.8,2024-02-28,Direct,4b86b5a1-ca6f-4ff8-964c-fbd2bc92fd81
12,12,jamie arnold,Abuja,Laptop,3,153159.37,459478.11,2024-07-22,Retail,317304b5-c1dd-484a-aca5-8d95915a1c30
13,13,Unknown Name,Lagos,Tablet,43,147209.07,6329990.01,2024-07-22,Wholesale,a383889a-db2c-4ac8-9c67-83932ced3c0d
14,14,lisa hensley,Kano,Camera,48,169095.82,8116599.36,2025-01-13,,6d7df5d0-d3b5-4af7-a7ce-378fe5a4983b
15,15,michele williams,Enugu,Tablet,27,142730.33,3853718.91,2024-07-22,Direct,
16,16,dylan miller,Delta,Charger,48,5482.77,263172.96,2025-06-30,Direct,669d01ff-1634-425b-93f3-007383e96ef4
17,17,brian ramirez,Bauchi,Charger,48,99706.26,4785900.48,2024-07-22,Retail,fb4fb88a-2f4d-4219-986b-2880ab545a15
18,18,holly wood,Katsina,Laptop,28,33326.57,933143.96,2024-11-17,,ef9240b6-52d7-4f10-ba3a-6e9623ff23d3
19,19,derek zuniga,Lagos,Headphones,43,125253.81,5385913.83,2023-11-23,Direct,6231ee73-42c2-42eb-81bf-9e733f800385
20,20,lisa jackson,Imo,Headphones,77,92649.51,7134012.27,2025-03-18,Online,4459bd6e-c0f6-4229-b25d-42593c4b1eec
